csv_id,year_start,year_end,loc_abbrev,loc_desc,source,class,topic,question,response,data_value_unit,data_value_type_id,data_value_type,data_value,data_value_alt,data_value_footnote_symbol,data_value_footnote,low_confidence_limit,high_confidence_limit,sample_size,strat_cat_1,strat1,strat_cat_2,strat2,strat_cat_3,strat3,geolocation,class_id,topic_id,question_id,response_id,location_id,strat_cat_id_1,strat_id_1,strat_cat_id_2,strat_id_2,strat_cat_id_3,strat_id_3,report,id
,2020,2020,KS,Kansas,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,47.9,47.9,,,46,49.9,,Age Group,65 years or older,,,,,POINT (-98.20078123 38.3477403),C01,TOC11,Q43,,20,AGE,65PLUS,OVERALL,OVERALL,,,,11
,2019,2019,KS,Kansas,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,%,PRCTG,Percentage,10.7,10.7,,,6,18.4,,Age Group,Overall,Race/Ethnicity,Hispanic,,,POINT (-98.20078123 38.3477403),C05,TMC01,Q03,,20,AGE,AGE_OVERALL,RACE,HIS,,,,12
,2017,2017,KS,Kansas,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,19.8,19.8,,,19,20.7,,Age Group,Overall,,,,,POINT (-98.20078123 38.3477403),C05,TMC03,Q27,,20,AGE,AGE_OVERALL,OVERALL,OVERALL,,,,13
,2018,2018,KS,Kansas,BRFSS,Overall Health,Physically unhealthy days (mean number of days),Physically unhealthy days (mean number of days in past month),,Number,MEAN,Mean,4.9,4.9,,,4.5,5.3,,Age Group,50-64 years,,,,,POINT (-98.20078123 38.3477403),C01,TOC01,Q08,,20,AGE,5064,OVERALL,OVERALL,,,,14
,2015,2015,KY,Kentucky,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,22.6,22.6,,,20.3,25.2,,Age Group,50-64 years,,,,,POINT (-84.77497105 37.64597027),C05,TMC03,Q27,,21,AGE,5064,OVERALL,OVERALL,,,,15
,2017,2017,KY,Kentucky,BRFSS,Overall Health,Recent activity limitations in past month,Mean number of days with activity limitations in the past month,,Number,MEAN,Mean,8.7,8.7,,,7.4,9.9,,Age Group,Overall,Gender,Male,,,POINT (-84.77497105 37.64597027),C01,TOC03,Q35,,21,AGE,AGE_OVERALL,GENDER,MALE,,,,16
,2015,2015,KY,Kentucky,BRFSS,Overall Health,Recent activity limitations in past month,Mean number of days with activity limitations in the past month,,Number,MEAN,Mean,8.1,8.1,,,7.3,8.9,,Age Group,50-64 years,,,,,POINT (-84.77497105 37.64597027),C01,TOC03,Q35,,21,AGE,5064,OVERALL,OVERALL,,,,17
,2020,2020,ME,Maine,BRFSS,Overall Health,Physically unhealthy days (mean number of days),Physically unhealthy days (mean number of days in past month),,Number,MEAN,Mean,3.7,3.7,,,3.4,4,,Age Group,Overall,,,,,POINT (-68.98503134 45.25422889),C01,TOC01,Q08,,23,AGE,AGE_OVERALL,OVERALL,OVERALL,,,,18
,2020,2020,ME,Maine,BRFSS,Overall Health,Fair or poor health among older adults with arthritis,Fair or poor health among older adults with doctor-diagnosed arthritis,,%,PRCTG,Percentage,24.6,24.6,,,22,27.4,,Age Group,Overall,Gender,Female,,,POINT (-68.98503134 45.25422889),C01,TOC13,Q45,,23,AGE,AGE_OVERALL,GENDER,FEMALE,,,,19
,2019,2019,MDW,Midwest,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,26.2,26.2,,,25.2,27.3,,Age Group,50-64 years,Gender,Female,,,,C05,TMC03,Q27,,9002,AGE,5064,GENDER,FEMALE,,,,20
,2020,2020,NRE,Northeast,BRFSS,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,%,PRCTG,Percentage,9.5,9.5,,,9,10.1,,Age Group,Overall,,,,,,C04,TAC03,Q21,,9001,AGE,AGE_OVERALL,OVERALL,OVERALL,,,,21
,2020,2020,SOU,South,BRFSS,Overall Health,Physically unhealthy days (mean number of days),Physically unhealthy days (mean number of days in past month),,Number,MEAN,Mean,4.6,4.6,,,4.4,4.8,,Age Group,50-64 years,,,,,,C01,TOC01,Q08,,9003,AGE,5064,OVERALL,OVERALL,,,,22
,2019,2019,SOU,South,BRFSS,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,%,PRCTG,Percentage,9.0,9.0,,,8.5,9.4,,Age Group,Overall,,,,,,C04,TAC03,Q21,,9003,AGE,AGE_OVERALL,OVERALL,OVERALL,,,,23
,2020,2020,WEST,West,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,41.9,41.9,,,40.4,43.4,,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",,,,C01,TOC11,Q43,,9004,AGE,AGE_OVERALL,RACE,WHT,,,,24
,2020,2020,WI,Wisconsin,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,20.5,20.5,,,17.8,23.4,,Age Group,Overall,Gender,Female,,,POINT (-89.81637074 44.39319117),C05,TMC03,Q27,,55,AGE,AGE_OVERALL,GENDER,FEMALE,,,,25
,2016,2016,WI,Wisconsin,BRFSS,Overall Health,Physically unhealthy days (mean number of days),Physically unhealthy days (mean number of days in past month),,Number,MEAN,Mean,5.2,5.2,,,4.6,5.9,,Age Group,50-64 years,,,,,POINT (-89.81637074 44.39319117),C01,TOC01,Q08,,55,AGE,5064,OVERALL,OVERALL,,,,26
,2017,2017,WI,Wisconsin,BRFSS,Overall Health,Recent activity limitations in past month,Mean number of days with activity limitations in the past month,,Number,MEAN,Mean,5.9,5.9,,,4.5,7.4,,Age Group,50-64 years,Gender,Male,,,POINT (-89.81637074 44.39319117),C01,TOC03,Q35,,55,AGE,5064,GENDER,MALE,,,,27
,2019,2019,WY,Wyoming,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,%,PRCTG,Percentage,10.5,10.5,,,8.6,12.6,,Age Group,Overall,Gender,Female,,,POINT (-108.1098304 43.23554134),C05,TMC01,Q03,,56,AGE,AGE_OVERALL,GENDER,FEMALE,,,,28
,2016,2016,WY,Wyoming,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,%,PRCTG,Percentage,6.2,6.2,,,4.8,8,,Age Group,65 years or older,,,,,POINT (-108.1098304 43.23554134),C05,TMC01,Q03,,56,AGE,65PLUS,OVERALL,OVERALL,,,,29
,2016,2016,WY,Wyoming,BRFSS,Overall Health,Prevalence of sufficient sleep,Percentage of older adults getting sufficient sleep (>6 hours),,%,PRCTG,Percentage,67.0,67.0,,,63.5,70.4,,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",,,POINT (-108.1098304 43.23554134),C01,TOC09,Q34,,56,AGE,5064,RACE,WHT,,,,30
,2017,2017,AL,Alabama,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,45.1,45.1,,,42.3,47.8,,Age Group,50-64 years,,,,,POINT (-86.63186076 32.84057112),C01,TOC11,Q43,,01,AGE,5064,OVERALL,OVERALL,,,,31
,2017,2017,AL,Alabama,BRFSS,Screenings and Vaccines,Diabetes screening within past 3 years,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,,%,PRCTG,Percentage,68.5,68.5,,,65,71.7,,Age Group,Overall,Gender,Male,,,POINT (-86.63186076 32.84057112),C03,TSC04,Q19,,01,AGE,AGE_OVERALL,GENDER,MALE,,,,32
,2019,2019,AZ,Arizona,BRFSS,Overall Health,Fair or poor health among older adults with arthritis,Fair or poor health among older adults with doctor-diagnosed arthritis,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,,,POINT (-111.7638113 34.86597028),C01,TOC13,Q45,,04,AGE,65PLUS,RACE,NAA,,,,33
,2015,2020,AL,Alabama,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,,,POINT (-86.63186076 32.84057112),C06,TCC04,Q42,,01,AGE,65PLUS,RACE,NAA,,,,34
,2019,2019,AL,Alabama,BRFSS,Overall Health,"Disability status, including sensory or mobility limitations","Percentage of older adults who report having a disability (includes limitations related to sensory or mobility impairments or a physical, mental, or emotional condition)",,%,PRCTG,Percentage,44.0,44.0,,,41.8,46.2,,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",,,POINT (-86.63186076 32.84057112),C01,TOC10,Q46,,01,AGE,AGE_OVERALL,RACE,WHT,,,,35
,2020,2020,AL,Alabama,BRFSS,Overall Health,"Disability status, including sensory or mobility limitations","Percentage of older adults who report having a disability (includes limitations related to sensory or mobility impairments or a physical, mental, or emotional condition)",,%,PRCTG,Percentage,40.4,40.4,,,36.9,43.9,,Age Group,Overall,Gender,Male,,,POINT (-86.63186076 32.84057112),C01,TOC10,Q46,,01,AGE,AGE_OVERALL,GENDER,MALE,,,,36
,2018,2018,AZ,Arizona,BRFSS,Overall Health,Recent activity limitations in past month,Mean number of days with activity limitations in the past month,,Number,MEAN,Mean,5.8,5.8,,,3.9,7.6,,Age Group,Overall,Race/Ethnicity,Hispanic,,,POINT (-111.7638113 34.86597028),C01,TOC03,Q35,,04,AGE,AGE_OVERALL,RACE,HIS,,,,37
,2015,2015,AK,Alaska,BRFSS,Screenings and Vaccines,Ever had pneumococcal vaccine,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",,%,PRCTG,Percentage,48.1,48.1,,,36.7,59.7,,Age Group,50-64 years,Gender,Male,,,POINT (-147.722059 64.84507996),C03,TSC09,Q09,,02,AGE,5064,GENDER,MALE,,,,38
,2015,2015,AK,Alaska,BRFSS,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,,%,PRCTG,Percentage,40.3,40.3,,,31.4,50,,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,,,POINT (-147.722059 64.84507996),C03,TSC08,Q18,,02,AGE,AGE_OVERALL,RACE,NAA,,,,39
,2020,2020,AZ,Arizona,BRFSS,Screenings and Vaccines,Ever had pneumococcal vaccine,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",,%,PRCTG,Percentage,64.5,64.5,,,56.3,71.9,,Age Group,65 years or older,Race/Ethnicity,Hispanic,,,POINT (-111.7638113 34.86597028),C03,TSC09,Q09,,04,AGE,65PLUS,RACE,HIS,,,,40
,2016,2016,AK,Alaska,BRFSS,Nutrition/Physical Activity/Obesity,No leisure-time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,,%,PRCTG,Percentage,25.4,25.4,,,16,38,,Age Group,65 years or older,Gender,Male,,,POINT (-147.722059 64.84507996),C02,TNC03,Q16,,02,AGE,65PLUS,GENDER,MALE,,,,41
,2016,2016,AZ,Arizona,BRFSS,Overall Health,Recent activity limitations in past month,Mean number of days with activity limitations in the past month,,Number,MEAN,Mean,7.6,7.6,,,6.3,9,,Age Group,50-64 years,Gender,Male,,,POINT (-111.7638113 34.86597028),C01,TOC03,Q35,,04,AGE,5064,GENDER,MALE,,,,42
,2016,2016,AL,Alabama,BRFSS,Screenings and Vaccines,Pap test within past 3 years,Percentage of older adult women with an intact cervix who had a Pap test within the past 3 years,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,Overall,Race/Ethnicity,Hispanic,,,POINT (-86.63186076 32.84057112),C03,TSC03,Q20,,01,AGE,AGE_OVERALL,RACE,HIS,,,,43
,2015,2020,AZ,Arizona,BRFSS,Caregiving,Duration of caregiving among older adults,Percentage of older adults who provided care to a friend or family member for six months or more,,%,PRCTG,Percentage,65.0,65.0,,,56.8,72.5,,Age Group,Overall,Gender,Male,,,POINT (-111.7638113 34.86597028),C07,TGC03,Q38,,04,AGE,AGE_OVERALL,GENDER,MALE,,,,44
,2015,2015,AL,Alabama,BRFSS,Overall Health,Fair or poor health among older adults with arthritis,Fair or poor health among older adults with doctor-diagnosed arthritis,,%,PRCTG,Percentage,54.0,54.0,,,45.8,62,,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-86.63186076 32.84057112),C01,TOC13,Q45,,01,AGE,65PLUS,RACE,BLK,,,,45
,2019,2019,AZ,Arizona,BRFSS,Overall Health,Recent activity limitations in past month,Mean number of days with activity limitations in the past month,,Number,MEAN,Mean,5.5,5.5,,,4.9,6.2,,Age Group,65 years or older,,,,,POINT (-111.7638113 34.86597028),C01,TOC03,Q35,,04,AGE,65PLUS,OVERALL,OVERALL,,,,46
,2016,2016,AK,Alaska,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Men,Percentage of older adult men who are up to date with select clinical preventive services,,%,PRCTG,Percentage,41.5,41.5,,,34.3,49.1,,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",,,POINT (-147.722059 64.84507996),C03,TSC10,Q10,,02,AGE,65PLUS,RACE,WHT,,,,47
,2017,2017,AL,Alabama,BRFSS,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,50-64 years,Race/Ethnicity,Hispanic,,,POINT (-86.63186076 32.84057112),C02,TNC01,Q01,,01,AGE,5064,RACE,HIS,,,,48
,2015,2015,AL,Alabama,BRFSS,Screenings and Vaccines,Ever had pneumococcal vaccine,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,Overall,Race/Ethnicity,Hispanic,,,POINT (-86.63186076 32.84057112),C03,TSC09,Q09,,01,AGE,AGE_OVERALL,RACE,HIS,,,,49
,2017,2017,AK,Alaska,BRFSS,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,65 years or older,Race/Ethnicity,Hispanic,,,POINT (-147.722059 64.84507996),C02,TNC04,Q13,,02,AGE,65PLUS,RACE,HIS,,,,50
,2016,2016,AK,Alaska,BRFSS,Nutrition/Physical Activity/Obesity,No leisure-time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,,%,PRCTG,Percentage,21.4,21.4,,,17.7,25.6,,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",,,POINT (-147.722059 64.84507996),C02,TNC03,Q16,,02,AGE,65PLUS,RACE,WHT,,,,51
,2019,2019,AL,Alabama,BRFSS,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,,%,PRCTG,Percentage,16.5,16.5,,,14.7,18.3,,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",,,POINT (-86.63186076 32.84057112),C04,TAC01,Q17,,01,AGE,AGE_OVERALL,RACE,WHT,,,,52
,2016,2016,AZ,Arizona,BRFSS,Caregiving,Provide care for a friend or family member in past month,Percentage of older adults who provided care for a friend or family member within the past month,,%,PRCTG,Percentage,22.9,22.9,,,21,25,,Age Group,Overall,,,,,POINT (-111.7638113 34.86597028),C07,TGC01,Q36,,04,AGE,AGE_OVERALL,OVERALL,OVERALL,,,,53
,2015,2015,AL,Alabama,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,,%,PRCTG,Percentage,41.8,41.8,,,33.6,50.4,,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",,,POINT (-86.63186076 32.84057112),C06,TCC03,Q41,,01,AGE,5064,RACE,WHT,,,,54
,2020,2020,AZ,Arizona,BRFSS,Overall Health,"Disability status, including sensory or mobility limitations","Percentage of older adults who report having a disability (includes limitations related to sensory or mobility impairments or a physical, mental, or emotional condition)",,%,PRCTG,Percentage,41.1,41.1,,,37.4,44.8,,Age Group,65 years or older,Gender,Male,,,POINT (-111.7638113 34.86597028),C01,TOC10,Q46,,04,AGE,65PLUS,GENDER,MALE,,,,55
,2016,2016,AZ,Arizona,BRFSS,Caregiving,Expect to provide care for someone in the next two years,Percentage of older adults currently not providing care who expect to provide care for someone with health problems in the next two years,,%,PRCTG,Percentage,19.3,19.3,,,15.5,23.9,,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",,,POINT (-111.7638113 34.86597028),C07,TGC02,Q37,,04,AGE,5064,RACE,WHT,,,,56
,2017,2017,AZ,Arizona,BRFSS,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",,%,PRCTG,Percentage,54.6,54.6,,,44.7,64.2,,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,,,POINT (-111.7638113 34.86597028),C02,TNC04,Q13,,04,AGE,5064,RACE,NAA,,,,57
,2017,2017,AL,Alabama,BRFSS,Overall Health,Recent activity limitations in past month,Mean number of days with activity limitations in the past month,,Number,MEAN,Mean,6.2,6.2,,,4.6,7.8,,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-86.63186076 32.84057112),C01,TOC03,Q35,,01,AGE,65PLUS,RACE,BLK,,,,58
,2016,2016,AK,Alaska,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,7.4,7.4,,,4.7,11.4,,Age Group,65 years or older,Gender,Male,,,POINT (-147.722059 64.84507996),C05,TMC03,Q27,,02,AGE,65PLUS,GENDER,MALE,,,,59
,2020,2020,AK,Alaska,BRFSS,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",,%,PRCTG,Percentage,33.0,33.0,,,26.8,39.8,,Age Group,65 years or older,Gender,Male,,,POINT (-147.722059 64.84507996),C02,TNC04,Q13,,02,AGE,65PLUS,GENDER,MALE,,,,60
,2020,2020,AR,Arkansas,BRFSS,Overall Health,Oral health:  tooth retention,Percentage of older adults who report having lost 5 or fewer teeth due to decay or gum disease,,%,PRCTG,Percentage,64.8,64.8,,,62.1,67.5,,Age Group,Overall,Gender,Female,,,POINT (-92.27449074 34.74865012),C01,TOC05,Q07,,05,AGE,AGE_OVERALL,GENDER,FEMALE,,,,61
,2020,2020,AK,Alaska,BRFSS,Overall Health,Self-rated health (good to excellent health),"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",,%,PRCTG,Percentage,81.5,81.5,,,77.1,85.2,,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",,,POINT (-147.722059 64.84507996),C01,TOC08,Q33,,02,AGE,65PLUS,RACE,WHT,,,,62
,2016,2016,AL,Alabama,BRFSS,Overall Health,Physically unhealthy days (mean number of days),Physically unhealthy days (mean number of days in past month),,Number,MEAN,Mean,6.7,6.7,,,6,7.4,,Age Group,50-64 years,Gender,Female,,,POINT (-86.63186076 32.84057112),C01,TOC01,Q08,,01,AGE,5064,GENDER,FEMALE,,,,63
,2015,2015,AZ,Arizona,BRFSS,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-111.7638113 34.86597028),C02,TNC01,Q01,,04,AGE,5064,RACE,ASN,,,,64
,2015,2015,AL,Alabama,BRFSS,Overall Health,Taking medication for high blood pressure,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,,,POINT (-86.63186076 32.84057112),C01,TOC04,Q04,,01,AGE,AGE_OVERALL,RACE,NAA,,,,65
,2020,2020,AK,Alaska,BRFSS,Overall Health,Prevalence of sufficient sleep,Percentage of older adults getting sufficient sleep (>6 hours),,%,PRCTG,Percentage,65.7,65.7,,,59.4,71.4,,Age Group,50-64 years,Gender,Male,,,POINT (-147.722059 64.84507996),C01,TOC09,Q34,,02,AGE,5064,GENDER,MALE,,,,66
,2016,2016,AL,Alabama,BRFSS,Overall Health,Self-rated health (fair to poor health),"Percentage of older adults who self-reported that their health is ""fair"" or ""poor""",,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-86.63186076 32.84057112),C01,TOC07,Q32,,01,AGE,AGE_OVERALL,RACE,ASN,,,,67
,2017,2017,AZ,Arizona,BRFSS,Screenings and Vaccines,Ever had pneumococcal vaccine,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-111.7638113 34.86597028),C03,TSC09,Q09,,04,AGE,5064,RACE,ASN,,,,68
,2015,2015,AZ,Arizona,BRFSS,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,,%,PRCTG,Percentage,53.6,53.6,,,49.8,57.3,,Age Group,65 years or older,Gender,Male,,,POINT (-111.7638113 34.86597028),C03,TSC08,Q18,,04,AGE,65PLUS,GENDER,MALE,,,,69
,2019,2019,AL,Alabama,BRFSS,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,,%,PRCTG,Percentage,12.0,12.0,,,9.2,15.5,,Age Group,65 years or older,Gender,Male,,,POINT (-86.63186076 32.84057112),C02,TNC02,Q02,,01,AGE,65PLUS,GENDER,MALE,,,,70
,2020,2020,AZ,Arizona,BRFSS,Screenings and Vaccines,Ever had pneumococcal vaccine,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",,%,PRCTG,Percentage,60.3,60.3,,,42.4,75.8,,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-111.7638113 34.86597028),C03,TSC09,Q09,,04,AGE,65PLUS,RACE,BLK,,,,71
,2016,2016,AZ,Arizona,BRFSS,Overall Health,Physically unhealthy days (mean number of days),Physically unhealthy days (mean number of days in past month),,Number,MEAN,Mean,11.7,11.7,,,8,15.3,,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,,,POINT (-111.7638113 34.86597028),C01,TOC01,Q08,,04,AGE,5064,RACE,NAA,,,,72
